AtcoCode,TiplocCode,CrsCode,StationName,StationNameLang,GridType,Easting,Northing,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Latitude,Longitude
9100KNRSBGH,KNRSBGH,KNA,Knaresborough Rail Station,"",U,434805,457130,2003-11-04T00:00:00,2011-11-03T16:09:31,4,rev,54.0090375731, -1.4704220018
9100BELPER,BELPER,BLP,Belper Rail Station,"",U,434808,347510,2003-11-04T00:00:00,2011-11-03T16:09:31,3,rev,53.0237754008, -1.482508538
9100AMBERGT,AMBERGT,AMB,Ambergate Rail Station,"",U,434900,351600,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,53.0605332632, -1.4806950473
9100BLIEURD,BLIEURD,BEU,Beaulieu Road Rail Station,"",U,434957,106287,2003-11-04T00:00:00,2006-11-24T15:29:01,2,rev,50.8550379245, -1.5047402125
9100CHBURY,CHBURY,CBY,Charlbury Rail Station,"",U,435230,219440,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,51.8724337794, -1.4896781604
9100DRONFLD,DRONFLD,DRO,Dronfield Rail Station,"",U,435500,378400,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,53.3013854109, -1.4687777286
9100CHPLTWN,CHPLTWN,CLN,Chapeltown Rail Station,"",U,435533,396309,2003-11-04T00:00:00,2007-10-08T15:47:32,2,rev,53.46235275, -1.4662753767
9100PEARTRE,PEARTRE,PEA,Peartree Rail Station,"",U,435535,333413,2005-04-04T00:00:00,2009-01-19T13:00:36,2,rev,52.8970116224, -1.4732098615
9100ANDOVER,ANDOVER,ADV,Andover Rail Station,"",U,435565,145938,2003-11-04T00:00:00,2006-09-18T18:24:34,2,rev,51.2115409141, -1.4922208179
9100ROMSEY,ROMSEY,ROM,Romsey Rail Station,"",U,435669,121581,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,50.992520078, -1.4931337195
9100SHEFFLD,SHEFFLD,SHF,Sheffield Rail Station,"",U,435880,386953,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,53.3782362148, -1.4621101656
9100BERMPRK,BERMPRK,BEP,Bermuda Park Rail Station,"",U,435927,289412,2016-09-24T00:00:00,2016-09-24T00:00:00,0,new,52.5014490814, -1.4721692914
9100DRBY,DRBY,DBY,Derby Rail Station,"",U,436182,335593,2003-11-04T00:00:00,2013-11-12T18:24:34,1,rev,52.9165645679, -1.4633507475
9100CSGT,CSGT,CRG,Cross Gates Rail Station,"",U,436215,434430,2003-11-04T00:00:00,2010-07-26T14:35:05,2,rev,53.8049283962, -1.4515849362
9100BEDWRTH,BEDWRTH,BEH,Bedworth Rail Station,"",U,436270,286952,2003-11-04T00:00:00,2006-11-24T15:29:01,3,rev,52.4793121537, -1.4673840381
9100NLRTN,NLRTN,NTR,Northallerton Rail Station,"",U,436430,493200,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,54.3330824604, -1.4412825015
9100NNTN,NNTN,NUN,Nuneaton Rail Station,"",U,436470,292190,2003-11-04T00:00:00,2007-02-13T17:06:21,3,rev,52.5263860835, -1.4638662754
9100TOTTON,TOTTON,TTN,Totton Rail Station,"",U,436480,113285,2003-11-04T00:00:00,2011-11-14T14:34:28,2,rev,50.917871726, -1.4824091536
9100FINSTCK,FINSTCK,FIN,Finstock Rail Station,"",U,436647,217265,2005-04-21T00:00:00,2006-09-18T18:24:34,1,rev,51.8527876529, -1.4693269485
9100WDLESFD,WDLESFD,WDS,Woodlesford Rail Station,"",U,436830,429080,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,53.7568021778, -1.4428831514
9100EBOLDON,EBOLDON,EBL,East Boldon Rail Station,"",U,437230,561460,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,54.9464212649, -1.4203275453
9100TSDARPR,TSDARPR,TEA,Tees-side Airport Rail Station,"",U,437300,513800,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,54.5181424575, -1.4253223693
9100REDBDGE,REDBDGE,RDB,Redbridge (Hants) Rail Station,"",U,437340,113520,2005-04-25T00:00:00,2010-12-23T15:04:25,2,rev,50.919929763, -1.4701514648
9100ELSC,ELSC,ELR,Elsecar Rail Station,"",U,438080,400370,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,53.4986759683, -1.4274252148
9100NORMNTN,NORMNTN,NOR,Normanton Rail Station,"",U,438165,422830,2003-11-04T00:00:00,2010-07-26T14:37:12,2,rev,53.7005346086, -1.4234040424
9100KNTBRY,KNTBRY,KIT,Kintbury Rail Station,"",U,438635,167200,2005-04-21T00:00:00,2006-09-18T18:24:34,1,rev,51.4025186724, -1.4459730106
9100CHFD,CHFD,CHD,Chesterfield Rail Station,"",U,438800,371400,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,53.2382369384, -1.4201139064
9100WOMBWEL,WOMBWEL,WOM,Wombwell Rail Station,"",U,438810,402455,2003-11-04T00:00:00,2010-12-20T15:37:54,2,rev,53.517362766, -1.4161637925
9100MEADWHL,MEADWHL,MHS,Meadowhall Rail Station,"",U,439121,391345,2003-11-04T00:00:00,2010-09-10T18:29:24,3,rev,53.4174828257, -1.4128516936
9100DARNALL,DARNALL,DAN,Darnall Rail Station,"",U,439170,387687,2003-11-04T00:00:00,2008-10-28T10:01:31,2,rev,53.3846003446, -1.4125666166
9100SEABURN,SEABURN,SEB,Seaburn Rail Station,"",U,439400,559600,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,54.929542046, -1.3867070759
9100SNDRMNK,SNDRMNK,STZ,St Peters Rail Station,"",U,439603,557588,2003-11-04T00:00:00,2006-09-18T18:24:34,2,rev,54.9114465319, -1.3838157241
9100SPDN,SPDN,SPO,Spondon Rail Station,"",U,439700,335139,2003-11-04T00:00:00,2009-01-19T13:00:36,2,rev,52.9122360781, -1.4110901354
9100SNDRLND,SNDRLND,SUN,Sunderland Rail Station,"",U,439705,556910,2003-11-04T00:00:00,2010-05-05T17:29:03,2,rev,54.9053460619, -1.382318101
9100STHS,STHS,SHC,Streethouse Rail Station,"",U,439725,420132,2003-11-04T00:00:00,2010-07-26T14:38:03,2,rev,53.6761699951, -1.4001215054
9100MBRK,MBRK,MBK,Millbrook (Hants) Rail Station,"",U,439900,112600,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,50.9114857016, -1.433834394
9100GARFRTH,GARFRTH,GRF,Garforth Rail Station,"",U,440785,433540,2003-11-04T00:00:00,2010-07-26T14:35:54,2,rev,53.7965926372, -1.3823135001
9100THIRSK,THIRSK,THI,Thirsk Rail Station,"",U,441000,481570,2003-11-04T00:00:00,2007-02-13T17:06:21,3,rev,54.2282229773, -1.3725964904
9100SOTON,SOTON,SOU,Southampton Central Rail Station,"",U,441327,112161,2003-11-04T00:00:00,2006-11-24T15:29:01,2,rev,50.9074381105, -1.4135875626
9100ALLENSW,ALLENSW,ALW,Allens West Rail Station,"",U,441449,514558,2003-11-04T00:00:00,2009-10-16T14:38:28,2,rev,54.5246329186, -1.361128823
9100FITZWLM,FITZWLM,FZW,Fitzwilliam Rail Station,"",U,441475,415290,2005-04-04T00:00:00,2010-07-26T14:35:37,2,rev,53.6325161611, -1.3742749709
9100EGRFRTH,EGRFRTH,EGF,East Garforth Rail Station,"",U,441565,433035,2003-11-04T00:00:00,2010-07-26T14:35:29,2,rev,53.7919924434, -1.3705405592
9100COMBE,COMBE,CME,Combe (Oxon) Rail Station,"",U,441850,215060,2003-11-04T00:00:00,2010-11-08T17:02:59,3,rev,51.8325979785, -1.3940563489
9100SOTNTQ,SOTNTQ,STQ,Southampton Town Quay,"",U,441884,110798,2004-11-08T00:00:00,2008-05-12T17:47:13,2,rev,50.8951417965, -1.4058217125
